111
118.00 271.08
118.64 271.09
119.66 271.08
120.68 271.09
121.68 271.08
124.81 271.07
125.38 271.09
131.25 50.31
132.69 50.25
134.14 50.23
135.61 50.25
120.68 271.09
135.92 50.26
160.09 50.26
50.29 70.38
161.16 50.31
162.76 50.28
162.76 50.28
163.41 271.09
163.61 271.10
163.84 50.30
164.40 271.11
165.17 271.10
165.95 271.08
124.05 271.08
167.20 271.10
168.46 271.08
169.70 271.10
170.61 271.08
174.37 50.30
174.37 50.30
174.92 50.31
176.57 50.28
178.33 50.31
185.99 50.31
187.51 50.25
189.13 50.23
190.85 50.25
192.68 50.31
210.15 50.31
211.76 50.29
213.57 50.31
215.50 50.28
217.57 50.31
218.46 271.08
219.28 271.09
220.12 271.08
220.95 271.09
221.79 271.08
222.63 271.09
223.49 271.08
224.34 271.09
225.22 271.08
229.94 50.31
232.02 50.28
234.28 50.31
245.64 50.31
247.80 50.28
250.16 50.31
263.52 50.31
267.70 50.30
269.34 50.29
271.05 58.61
271.05 68.79
271.06 251.01
271.06 271.08
271.06 50.30
271.06 58.34
271.06 69.62
271.06 70.38
291.12 207.75
291.12 234.87
291.12 238.40
291.12 242.38
291.12 242.96
291.12 244.83
291.12 246.79
291.12 248.85
291.12 251.01
291.13 201.86
291.13 247.82
291.13 249.92
291.13 70.38
291.13 74.48
291.13 79.38
291.14 243.89
291.14 245.81
291.16 235.76
291.16 237.53
291.17 236.65
50.29 70.38
291.17 239.36
291.17 241.35
291.19 240.35
50.28 225.89
50.28 251.01
50.29 203.29
50.29 70.38
70.34 252.01
70.36 251.01
70.36 253.01
70.36 271.08
70.36 50.31
70.36 70.38
73.24 271.08
74.36 271.09
75.45 271.08
76.51 271.09
50.29 70.38
77.55 271.07
77.94 271.08
